station_number,station_name,station_short_name,station_type,cdec_id,site_code,latitude,longitude,lldatum,positional_accuracy,County
A06535,Bear River at Pleasant Grove Road,BearR. @ Pleasnt Grv,Surface Water,BPG,,38.98333333,-121.4880556,NAD83,Unknown,Sutter
A6501050,Bear River near Mouth,Bear R NR MO,Water Quality,,,38.95124,-121.5608,NAD83,Unknown,Sutter
13N04E11R005M,Bear River Well 1A shallow screen 28-48 ft bgs,BR-1A shallow,Groundwater,,389857N1214880W004,38.9857,-121.488,NAD83,"GPS, 10m",Sutter
13N04E11R002M,Bear River Well 1B middle-shallow screen 78-97 ft bgs,BR-1B middle-shallow,Groundwater,,389857N1214880W001,38.9857,-121.488,NAD83,"GPS, 10m",Sutter
13N04E11R003M,Bear River Well 1C middle-deep screen 215-244 ft bgs,BR-1C middle-deep,Groundwater,,389857N1214880W002,38.9857,-121.488,NAD83,"GPS, 10m",Sutter
13N04E11R004M,Bear River Well 1D deep screen 320-330 ft bgs,BR-1D deep,Groundwater,,389857N1214880W003,38.9857,-121.488,NAD83,"GPS, 10m",Sutter
B9D81651399,Below Base of Toe Drain in Prospect Slough,BL5,Water Quality,,,38.27446,-121.665652,WGS84,"GPS, 10m",Solano
B9504500,Bethel Island at Piper Slough,Bethel Isl @ Piper,Water Quality,BET,,38.0333489,-121.6198269,NAD83,Unknown,San Joaquin
G12200,Bidwell Creek below Mill Creek near Fort Bidwell,Bidwell Cr blw Mill,Surface Water,,,41.882058,-120.175313,NAD83,Unknown,Modoc
A04250,Big Chico Creek at Chico,Big Chico Cr @ Chico,Surface Water,,,39.727123,-121.863023,NAD83,Unknown,Butte
A0425000,Big Chico Creek at Chico,Big Chico Cr @ Chico,Water Quality,,,39.72716,-121.86308,NAD83,Unknown,Butte
A4216000,Big Chico Creek at HWY 32,Big Chico C A HWY32,Water Quality,,,40.063447,-121.605189,NAD83,Unknown,Tehama
A42105,Big Chico Creek near Chico,Big Chico C nr Chico,Surface Water,BIC,,39.768417,-121.778604,NAD83,Unknown,Butte
A5547500,Big Grizzly Creek Station 1,Big Grizzly 1,Water Quality,,,39.866,-120.457,WGS84,Unknown,Plumas
A5547300,Big Grizzly Creek Station 2,Big Grizzly 2,Water Quality,,,39.86094,-120.45511,WGS84,Unknown,Plumas
A5545010,Big Grizzly Creek Station 3,Big Grizzly 3,Water Quality,,,39.8193,-120.42409,WGS84,Unknown,Plumas
F21377,Big Springs Creek near Grenada,Big Springs Cr nr Gr,Surface Water,BGG,,41.599233,-122.431361,WGS84,Unknown,Siskiyou
39N09E29K001M,Big Valley Monitoring Well 1-1 screen 175-265,BVMW 1-1,Groundwater,,411880N1209599W001,41.188025,-120.959864,NAD83,"GPS, 10m",Modoc
39N09E29K002M,Big Valley Monitoring Well 1-2 screen 32-52,BVMW 1-2,Groundwater,,411881N1209598W001,41.188095,-120.959791,NAD83,"GPS, 10m",Modoc
39N09E29K003M,Big Valley Monitoring Well 1-3 screen 30-50,BVMW 1-3,Groundwater,,411878N1209593W001,41.187786,-120.959347,NAD83,"GPS, 10m",Modoc
39N09E29K004M,Big Valley Monitoring Well 1-4 screen 29-49,BVMW 1-4,Groundwater,,411880N1209590W001,41.188034,-120.959004,NAD83,"GPS, 10m",Modoc
39N08E23D001M,Big Valley Monitoring Well 2-1 screen 210-250,BVMW 2-1,Groundwater,,412119N1210286W001,41.211851,-121.028608,NAD83,"GPS, 10m",Modoc
39N08E23D002M,Big Valley Monitoring Well 2-2 screen 50-70,BVMW 2-2,Groundwater,,412118N1210286W001,41.211838,-121.028552,NAD83,"GPS, 10m",Modoc
39N08E23D003M,Big Valley Monitoring Well 2-3 screen 50-70,BVMW 2-3,Groundwater,,412110N1210287W001,41.210951,-121.028682,NAD83,"GPS, 10m",Modoc
39N08E15A001M,Big Valley Monitoring Well 2-4 screen 40-60,BVMW 2-4,Groundwater,,412120N1210294W001,41.211997,-121.029379,NAD83,"GPS, 10m",Modoc
39N07E18M001M,Big Valley Monitoring Well 3-1 screen 135-185,BVMW 3-1,Groundwater,,412169N1211050W001,41.21694,-121.1049557,NAD83,"GPS, 10m",Modoc
39N07E18M002M,Big Valley Monitoring Well 3-2 screen 25-40,BVMW 3-2,Groundwater,,412170N1211050W001,41.217008,-121.104957,NAD83,"GPS, 10m",Modoc
39N07E13J001M,Big Valley Monitoring Well 3-3 screen 25-50,BVMW 3-3,Groundwater,,412157N1211051W001,41.215719,-121.10509,NAD83,"GPS, 10m",Modoc
39N07E13J002M,Big Valley Monitoring Well 3-4 screen 25-50,BVMW 3-4,Groundwater,,412157N1211054W001,41.215723,-121.105409,NAD83,"GPS, 10m",Modoc
39N07E22M002M,Big Valley Monitoring Well 4-1 screen 385-415,BVMW 4-1,Groundwater,,412029N1211587W001,41.202928,-121.1587,NAD83,"GPS, 10m",Modoc
39N07E22M005M,Big Valley Monitoring Well 4-2 screen 54-74,BVMW 4-2,Groundwater,,412029N1211588W001,41.202935,-121.15879,NAD83,"GPS, 10m",Modoc
39N07E22M004M,Big Valley Monitoring Well 4-3 screen 60-80,BVMW 4-3,Groundwater,,412030N1211579W001,41.202991,-121.157859,NAD83,"GPS, 10m",Modoc
39N07E22M003M,Big Valley Monitoring Well 4-4 screen 73-93,BVMW 4-4,Groundwater,,412035N1211578W001,41.20354,-121.157843,NAD83,"GPS, 10m",Modoc
38N07E23C001M,Big Valley Monitoring Well 5-1 screen 485-535,BVMW 5-1,Groundwater,,411219N1211339W001,41.121876,-121.133878,NAD83,"GPS, 10m",Lassen
38N07E23C002M,Big Valley Monitoring Well 5-2 screen 65-155.5,BVMW 5-2,Groundwater,,411220N1211339W001,41.121946,-121.133878,NAD83,"GPS, 10m",Lassen
38N07E23C003M,Big Valley Monitoring Well 5-3 screen 65-85,BVMW 5-3,Groundwater,,411212N1211366W001,41.121181,-121.136652,NAD83,"GPS, 10m",Lassen
38N07E23F001M,Big Valley Monitoring Well 5-4 screen 70-90,BVMW 5-4,Groundwater,,411206N1211340W001,41.120554,-121.134001,NAD83,"GPS, 10m",Lassen
A02980,Biggs West Gridley Main Drain Canal at Cherokee Canal,Biggs W Gridley Main,Surface Water,,,39.330093,-121.879716,NAD83,Unknown,Butte
E3365000,Blacklock Wetland Breach - North at Little Honker Bay,Blacklock North,Water Quality,,,38.18043888,-121.9122667,WGS84,"GPS, 10m",Solano
E33650Q,Blacklock Wetland Breach - North at Little Honker Bay,Blacklock North,Tide Station,,,38.18043888,-121.9122667,WGS84,"GPS, 10m",Solano
E3365500,Blacklock Wetland Breach - South at Little Honker Bay,Blacklock South,Water Quality,,,38.17960833,-121.9129028,WGS84,"GPS, 10m",Solano
E33655Q,Blacklock Wetland Breach - South at Little Honker Bay,Blacklock South,Tide Station,,,38.17960833,-121.9129028,WGS84,"GPS, 10m",Solano
A15145,Burney Creek at Park Avenue at Burney,Burney Cr @ Park Ave,Surface Water,BPB,,40.876067,-121.671029,NAD83,Unknown,Shasta
B56100,Burns Creek below Burns Dam near Planada,Burns Cr blw Burns D,Surface Water,,,37.37494,-120.276017,NAD83,1/250000,Merced
20N01E02H003M,BUT_02H003M screen interval 70 to 180 bgs,Screen: 70-180 ft,Groundwater,,396158N1218221W001,39.615756,-121.822158,NAD83,Unknown,Butte
22N01W05M001M,BUT_05M001M screen interval unknown,Screen: Unknown,Groundwater,,397871N1220100W001,39.787113,-122.010001,NAD83,"GPS, 10m",Butte
19N02E07K002M,BUT_07K002M screen interval 560 to 570 bgs,Screen: 560-570 ft,Groundwater,,395118N1217880W001,39.511803,-121.787962,NAD83,Unknown,Butte
19N02E07K003M,BUT_07K003M screen interval 330 to 340 bgs,Screen: 330-340 ft,Groundwater,,395118N1217880W002,39.511803,-121.787962,NAD83,Unknown,Butte
19N02E07K004M,BUT_07K004M screen interval 140 to 150 bgs,Screen: 140-150 ft,Groundwater,,395118N1217880W003,39.511803,-121.787962,NAD83,Unknown,Butte
21N01E08K002M,BUT_08K002M screen interval unknown,Screen: Unknown,Groundwater,,396891N1218854W001,39.6891,-121.8854,NAD83,"GPS, 10m",Butte
20N02E09G001M,BUT_09G001M screen interval 130 to 180 bgs,Screen: 130-180 ft,Groundwater,,396154N1217391W001,39.615453,-121.739123,NAD83,Unknown,Butte
23N01W10M001M,BUT_10M001M screen interval 90 to 200 bgs,Screen: 90-200 ft,Groundwater,,398619N1219746W001,39.861936,-121.974546,NAD83,Unknown,Butte
21N01W11A001M,"BUT_11A001Mscreen interval 810 to 1,280 ft bgs",Screen: 810-1280 ft,Groundwater,,396943N1219410W001,39.69433298,-121.9409595,NAD83,"GPS, 10m",Butte
21N01W11A002M,BUT_11A002M screen interval 125 to 185 ft bgs,Screen: 125-185 ft,Groundwater,,396943N1219410W002,39.69433298,-121.9409595,NAD83,"GPS, 10m",Butte
21N01W11A003M,BUT_11A003 screen interval 30 to 50 ft bgs,Screen: 30-50 ft,Groundwater,,396943N1219410W003,39.69433298,-121.9409595,NAD83,"Survey, 1m",Butte
21N01E13L002M,BUT_13L002M screen interval 735 to 760 bgs,CSU Chico Farm Deep,Groundwater,,396735N1218144W001,39.6734804,-121.8144029,WGS84,"GPS, 10m",Butte
21N01E13L003M,BUT_13L003M SCREEN INTERVAL 540 TO 560 BGS,CSU CHICO FARM INTER,Groundwater,,396735N1218144W002,39.6734804,-121.8144029,WGS84,"GPS, 10m",Butte
21N01E13L004M,BUT_13L004M SCREEN INTERVAL 240 TO 340,CSU CHICO FARM SHALL,Groundwater,,396735N1218144W003,39.6734804,-121.8144029,WGS84,"GPS, 10m",Butte
19N02E13Q001M,BUT_13Q001M screen interval 130 to 210 bgs,Screen: 130-210 ft,Groundwater,,394944N1216931W001,39.494417,-121.693126,NAD83,Unknown,Butte
19N02E13Q002M,BUT_13Q002M screen interval 470 to 480 bgs,Screen: 470-480 ft,Groundwater,,394944N1216932W001,39.494409,-121.693199,NAD83,Unknown,Butte
19N02E13Q003M,BUT_13Q003M screen interval 670 to 680 bgs,Screen: 670-680 ft,Groundwater,,394944N1216932W002,39.494409,-121.693199,NAD83,Unknown,Butte
20N02E15H001M,BUT_15H001M screen interval 170 to 180 bgs,Screen: 170-180 ft,Groundwater,,395891N1217303W001,39.589093,-121.730317,NAD83,Unknown,Butte
20N02E15H002M,BUT_15H002M screen interval 55-65 bgs,Screen: 55-65- ft,Groundwater,,395892N1217304W001,39.589151,-121.730404,NAD83,"GPS, 10m",Butte
20N02E16P001M,BUT_16P001M screen interval unknown,Screen: Unknown,Groundwater,,395826N1217545W001,39.58305,-121.754047,NAD83,Unknown,Butte
17N01E17F001M,BUT_17F001M screen interval 130 to 150 bgs,Wild Goose Shallow,Groundwater,,393257N1218830W001,39.3257,-121.883,WGS84,"GPS, 10m",Butte
17N01E17F002M,BUT_17F002M screen interval 312 to 332 bgs,Wild Goose Inter.,Groundwater,,393257N1218830W002,39.32572,-121.882942,NAD83,"GPS, 10m",Butte
17N01E17F003M,But_17F003M screen interval 505 to 535 bgs,Wild Goose Deep,Groundwater,,393257N1218830W003,39.32572,-121.882942,NAD83,"GPS, 10m",Butte
21N02E18C001M,But_18C001M screen interval 770-880 ft bgs,Screen: 770-880 ft,Groundwater,,396820N1217970W001,39.681959,-121.796978,NAD83,"GPS, 10m",Butte
21N02E18C002M,But_18C002M screen interval 360-620 ft bgs,Screen: 360-620 ft,Groundwater,,396820N1217970W002,39.681959,-121.796978,NAD83,"GPS, 10m",Butte
21N02E18C003M,But_18C003M screen interval 130-200 ft bgs,Screen: 130-200 ft,Groundwater,,396820N1217970W003,39.681959,-121.796978,NAD83,"GPS, 10m",Butte
20N01E18L001M,BUT_18L001M screen interval 767 to 894 bgs,Screen: 767-894 ft,Groundwater,,395771N1219082W001,39.577074,-121.908207,NAD83,Unknown,Butte
20N01E18L002M,BUT_18L002M screen interval 509 to 562 bgs,Screen: 509-562 ft,Groundwater,,395771N1219083W001,39.577063,-121.908277,NAD83,Unknown,Butte
20N01E18L003M,BUT_18L003M screen interval 98 to 108 bgs,Screen: 98-108 ft,Groundwater,,395771N1219083W002,39.577063,-121.908277,NAD83,Unknown,Butte
17N01E24A002M,BUT_24A002M screen interval 1063 to 1083 bgs,Screen: 1063-1083 ft,Groundwater,,393169N1218004W001,39.31695,-121.800448,NAD83,Unknown,Butte
17N01E24A003M,BUT_24A003M screen interval 770 to 790 bgs,Screen: 770-790 ft,Groundwater,,393169N1218004W002,39.31695,-121.800448,NAD83,Unknown,Butte
17N01E24A004M,BUT_24A004M screen interval 371 to 440 bgs,Screen: 371-440 ft,Groundwater,,393169N1218004W003,39.31695,-121.800448,NAD83,Unknown,Butte
17N01E24A005M,BUT_24A005M screen interval 220 to 240 bgs,Screen: 220-240 ft,Groundwater,,393169N1218004W004,39.31695,-121.800448,NAD83,Unknown,Butte
17N01E24A006M,BUT_24A006M screen interval 45 to 55 bgs,Screen: 45-55 ft,Groundwater,,393169N1218004W005,39.316922,-121.800448,NAD83,Unknown,Butte
21N01W24B001M,BUT_24B001M screen interval 800 to 820 bgs,Screen: 800-820 ft,Groundwater,,396655N1219250W001,39.665515,-121.925035,NAD83,Unknown,Butte
20N02E24C001M,BUT_24C001M screen interval 124 to 134 bgs,Screen: 124-134 ft,Groundwater,,395812N1217026W001,39.581199,-121.70257,NAD83,Unknown,Butte
20N02E24C002M,BUT_24C002M screen interval 336 to 377 bgs,Screen: 336-377 ft,Groundwater,,395812N1217026W002,39.581199,-121.70257,NAD83,Unknown,Butte
20N02E24C003M,BUT_24C003M screen interval 484 to 505 bgs,Screen: 484-505 ft,Groundwater,,395812N1217026W003,39.581199,-121.70257,NAD83,Unknown,Butte
21N02E26E003M,BUT_26E003M screen interval 610 to 620 bgs,Screen: 610-620 ft,Groundwater,,396468N1217263W001,39.646778,-121.726248,NAD83,Unknown,Butte
21N02E26E004M,BUT_26E004M screen interval 400 to 484 bgs,Screen: 400-484 ft,Groundwater,,396468N1217263W002,39.646778,-121.726248,NAD83,"GPS, 10m",Butte
21N02E26E005M,BUT_26E005M screen interval 265 to 290 bgs,Screen: 265-290 ft,Groundwater,,396468N1217263W003,39.646778,-121.726248,NAD83,"GPS, 10m",Butte
21N02E26E006M,BUT_26E006M screened interval 105 to 150,Screen: 105-150 ft,Groundwater,,396468N1217263W004,39.646778,-121.726248,NAD83,"GPS, 10m",Butte
21N01E27B001M,BUT_27B001M screen interval unknown,Screen: Unknown,Groundwater,,396528N1218526W001,39.652738,-121.852487,NAD83,"GPS, 10m",Butte
21N01E28F001M,BUT_28F001M screen interval unknown,Screen: Unknown,Groundwater,,396490N1218726W001,39.648986,-121.872517,NAD83,"GPS, 10m",Butte
22N01E28J001M,BUT_28J001M screen interval 460 t0 559 bgs,Screen: 460-559 ft,Groundwater,,397317N1218649W001,39.731678,-121.864995,NAD83,"GPS, 10m",Butte
22N01E28J003M,BUT_28J003M screen interval 200 to 279 bgs,Screen: 200-279 ft,Groundwater,,397317N1218649W002,39.731678,-121.864995,WGS84,"GPS, 10m",Butte
22N01E28J005M,BUT_28J005M screen interval 740 to 800 bgs,Screen: 740-800 ft,Groundwater,,397317N1218649W003,39.731678,-121.864995,WGS84,"GPS, 10m",Butte
23N01W28M002M,BUT_28M002M screen interval 791 to 1021 bgs,Screen: 791-1021 ft,Groundwater,,398188N1219912W001,39.818773,-121.991188,NAD83,Unknown,Butte
23N01W28M003M,BUT_28M003M screen interval 640 to 670 bgs,Screen: 640-670 ft,Groundwater,,398188N1219912W002,39.818773,-121.991188,NAD83,Unknown,Butte
23N01W28M004M,BUT_28M004M Screened Interval 120 to 165 feet bgs.,Screen: 120-165 ft,Groundwater,,398188N1219912W003,39.818773,-121.991188,NAD83,"GPS, 10m",Butte
23N01W28M005M,BUT_28M005M Screened Interval 30 to 50 feet bgs.,Screen: 30-50 ft,Groundwater,,398188N1219912W004,39.818773,-121.991188,NAD83,"GPS, 10m",Butte
22N02E30C002M,BUT_30C002M screen interval 90 to 190 bgs,Screen: 90-190 ft,Groundwater,,397383N1217982W001,39.738267,-121.798145,NAD83,Unknown,Butte
21N02E30L001M,BUT_30L001M screen interval unknown,Screen: Unknown,Groundwater,,396422N1217994W001,39.642219,-121.799417,NAD83,"GPS, 10m",Butte
20N03E31M001M,BUT_31M001M screen interval 130 to 180 bgs,Screen: 130-180 ft,Groundwater,,395446N1216873W001,39.54458,-121.687321,NAD83,Unknown,Butte
23N01W31M001M,BUT_31M001M screened interval 1020 to 1030,Screen: 1020-1030 ft,Groundwater,,398028N1220294W001,39.802772,-122.029408,NAD83,Unknown,Butte
23N01W31M002M,BUT_31M002M screen interval 590 to 600 bgs,Screen: 590-600 ft,Groundwater,,398028N1220294W002,39.802772,-122.029408,NAD83,"GPS, 10m",Butte
23N01W31M003M,BUT_31M003M screen interval 140 to 201 bgs,Screen: 140-201 ft,Groundwater,,398028N1220294W003,39.802772,-122.029408,NAD83,"GPS, 10m",Butte
23N01W31M004M,BUT_31M004M screen interval 65.5 to 75.5 bgs,Screen: 66-76 ft,Groundwater,,398028N1220294W004,39.802772,-122.029408,NAD83,"GPS, 10m",Butte
21N03E32B001M,BUT_32B001M screen interval unknown,Screen: Unknown,Groundwater,,396396N1216634W001,39.639578,-121.663376,NAD83,"GPS, 10m",Butte
22N01E32E004M,BUT_32E004M screen interval unknown,Screen: Unknown,Groundwater,,397190N1218983W001,39.718967,-121.898284,NAD83,Unknown,Butte
20N03E33L001M,BUT_33L001M screen interval unknown,Screen: Unknown,Groundwater,,395435N1216466W001,39.543565,-121.646642,NAD83,Unknown,Butte
19N01E35B001M,BUT_35B001M screen interval 85 to 135 bgs,Screen: 85-135 ft,Groundwater,,394635N1218276W001,39.463547,-121.827619,NAD83,Unknown,Butte
19N01E35B002M,BUT_35B002M screen interval 930 to 950 bgs,Screen: 930-950 ft,Groundwater,,394634N1218278W001,39.463439,-121.82775,NAD83,Unknown,Butte
19N01E35B003M,BUT_35B003M screen interval 490 to 510 bgs,Screen: 490-510 ft,Groundwater,,394634N1218278W002,39.463439,-121.82775,NAD83,Unknown,Butte
22N01E35E001M,BUT_35E001M screen interval 101 to 372 bgs,Screen: 101-372 ft,Groundwater,,397182N1218432W001,39.718223,-121.843211,NAD83,Unknown,Butte
21N01W35K002M,BUT_35K002M screen interval 75 to 135 bgs,Screen: 75-135 ft,Groundwater,,396301N1219407W001,39.6301,-121.9407,NAD83,Unknown,Butte
18N01E35L001M,BUT_35L001M screen interval 816 to 836 bgs,Screen: 816-836 ft,Groundwater,,393678N1218288W001,39.367445,-121.827879,NAD83,Unknown,Butte
A4150000,Butte Creek at Butte Meadows,Butte C A Butte Mead,Water Quality,,,40.068056,-121.573889,NAD83,Unknown,Butte
A0416000,Butte Creek below Western Canal,Butte C blw West Cnl,Water Quality,,,39.55565,-121.83641,NAD83,Unknown,Butte
A04158,Butte Creek below Western Canal near Nelson,Butte C blw West Cnl,Surface Water,BWC,,39.555722,-121.836511,NAD83,Unknown,Butte
A04265,Butte Creek near Durham,Butte Cr nr Durham,Surface Water,BCD,,39.678014,-121.777482,NAD83,Unknown,Butte
A04150,Butte Creek near Gridley,Butte Cr nr Gridley,Surface Water,,,39.385633,-121.888846,NAD83,Unknown,Butte
A02971,Butte Slough at Mawson Bridge near Colusa,Butte Sl @ Mawson Br,Surface Water,,,39.187159,-121.908739,NAD83,Unknown,Sutter
A02967,Butte Slough at Outfall Gates near Colusa,Butte Sl @ Outfall G,Surface Water,BSO,,39.195161,-121.936567,NAD83,Unknown,Colusa
A02972,Butte Slough near Meridian,Butte Sl nr Meridian,Surface Water,BSL,,39.171474,-121.901649,NAD83,Unknown,Sutter
A0297200,Butte Slough near Meridian,Butte Sl nr Meridian,Water Quality,,,39.1711,-121.90134,NAD83,Unknown,Sutter
A8205000,"Cache Creek, North Fork, near Lower Lake",CACHE C NF NR LL,Water Quality,,,39.02356,-122.5726,NAD83,Unknown,Colusa
A65105,Camp Far West Reservoir,Camp Far W Reservoir,Surface Water,CFW,,39.05222222,-121.3186111,NAD83,Unknown,Placer
C03970,Campbell-Moreland Ditch above Porterville,Campbell-Moreland Di,Surface Water,,,36.044952,-118.962599,NAD83,1/250000,Tulare
D91010,Carpinteria CR A Calle Ocho Footbridge,CPA SRO,Surface Water,CPA,D-91010,34.392712,119.514275,NAD83,Unknown,Santa Barbara
G15150,Cedar Creek at Cedarville,Cedar Cr @ Cedarvill,Surface Water,,,41.530318,-120.193332,NAD83,Unknown,Modoc
B9565700,Channel Marker 40 - Port of Stockton,40,Water Quality,,,37.01629944,-121.00638,NAD83,Unknown,San Joaquin
B9565900,Channel Marker 42 - Port of Stockton,42,Water Quality,,,37.01614361,-121.0062014,NAD83,Unknown,San Joaquin
B9566100,Channel Marker 43 - Port of Stockton,43,Water Quality,,,37.01598667,-121.0059803,NAD83,Unknown,San Joaquin
B9566300,Channel Marker 48 - Port of Stockton,48,Water Quality,,,37.01586,-121.0056328,NAD83,Unknown,San Joaquin
A00910,Cherokee Canal near Gridley,Cherokee Can nr Grid,Surface Water,,,39.355275,-121.881878,NAD83,Unknown,Butte
A02984,Cherokee Canal near Richvale,Cherokee C. nr Rich.,Surface Water,CHC,,39.464704,-121.744738,NAD83,Unknown,Butte
D34110,Cholame Creek near Estrella River,CER,Surface Water,,,35.670217,-120.358519,,Unknown,San Luis Obispo
B07802,Chowchilla Bypass at Head Below Control Structure,Chowchilla Bypass @,Surface Water,,,36.774949,-120.286556,NAD83,1/250000,Madera
B64300,Chowchilla River West Fork near Mariposa,Chowchilla W Fork nr,Surface Water,,,37.420496,-119.87461,NAD83,1/250000,Mariposa
A0079000,Churn Creek near Anderson,CHURN C NR ANDERSON,Water Quality,,,40.48081,-122.30678,NAD83,Unknown,Shasta
A3601000,Clear Creek near Mouth near Redding,CLEAR C MO REDDING,Water Quality,,,40.50922,-122.38,NAD83,Unknown,Shasta
B95339,Clifton Court Intake,Clifton Court (CCI),Tide Station,,,37.83004167,-121.5563333,WGS84,"GPS, 10m",Contra Costa
